""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2020"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","2,005.1","g","783.4","g","2,788.6","g","48,685.8","g","1.5","g","4.9","g"
"Alaska","3,410.4","g","669.6","g","4,080.0","g","77,614.7","g","1.7","g","0.7","g"
"Arizona","1,809.2","g","124.2","g","1,933.3","g","51,588.1","g","2.0","g","7.4","g"
"Arkansas","2,379.7","g","106.4","g","2,486.1","g","45,515.1","g","1.2","g","3.0","g"
"California","3,566.7","g","1,098.3","g","4,665.0","g","82,460.8","g","1.7","g","39.6","g"
"Colorado","1,923.6","g","349.1","g","2,272.7","g","69,777.0","g","2.3","g","5.8","g"
"Connecticut","1,459.4","g","40.2","g","1,499.7","g","82,941.3","g","1.1","g","3.6","g"
"Delaware","3,400.3","g","40.3","g","3,440.6","g","78,923.1","g","0.7","g","1.0","g"
"District of Columbia","0.0","g","4,389.0","g","4,389.0","g","213,214.2","g","1.1","g","0.7","g"
"Florida","1,535.3","g","517.9","g","2,053.1","g","52,524.4","g","1.8","g","21.7","g"
"Georgia","1,362.9","g","552.6","g","1,915.6","g","59,556.6","g","1.3","g","10.7","g"
"Hawaii","2,363.7","g","25.4","g","2,389.0","g","71,291.2","g","0.8","g","1.4","g"
"Idaho","1,567.4","g","495.9","g","2,063.3","g","46,209.1","g","1.8","g","1.8","g"
"Illinois","1,819.2","g","255.3","g","2,074.4","g","73,494.5","g","1.1","g","12.6","g"
"Indiana","1,991.5","g","761.3","g","2,752.8","g","57,315.4","g","0.7","g","6.8","g"
"Iowa","2,861.7","g","707.3","g","3,569.1","g","63,342.5","g","0.7","g","3.2","g"
"Kansas","2,336.4","g","387.9","g","2,724.3","g","61,123.3","g","0.7","g","2.9","g"
"Kentucky","3,167.5","g","254.4","g","3,421.8","g","49,462.5","g","0.8","g","4.5","g"
"Louisiana","2,993.3","g","685.9","g","3,679.3","g","58,446.9","g","0.9","g","4.6","g"
"Maine","2,076.8","g","121.6","g","2,198.4","g","51,861.2","g","1.3","g","1.3","g"
"Maryland","2,094.7","g","103.7","g","2,198.3","g","73,193.9","g","1.1","g","6.1","g"
"Massachusetts","3,826.6","g","171.7","g","3,998.3","g","89,675.0","g","1.6","g","6.9","g"
"Michigan","2,007.2","g","346.7","g","2,353.9","g","55,753.2","g","0.6","g","10.0","g"
"Minnesota","2,922.5","g","582.3","g","3,504.8","g","69,242.5","g","1.0","g","5.7","g"
"Mississippi","2,545.3","g","945.2","g","3,490.5","g","41,275.5","g","1.0","g","3.0","g"
"Missouri","2,443.7","g","395.6","g","2,839.3","g","55,943.8","g","1.4","g","6.2","g"
"Montana","2,268.4","g","237.8","g","2,506.2","g","50,080.3","g","1.4","g","1.1","g"
"Nebraska","1,327.1","g","347.9","g","1,675.1","g","67,128.1","g","0.5","g","1.9","g"
"Nevada","1,461.4","g","365.7","g","1,827.1","g","59,015.5","g","1.9","g","3.1","g"
"New Hampshire","1,473.1","g","22.0","g","1,495.2","g","67,530.3","g","1.8","g","1.4","g"
"New Jersey","2,357.4","g","74.7","g","2,432.1","g","75,092.6","g","1.0","g","8.9","g"
"New Mexico","3,771.3","g","155.1","g","3,926.4","g","51,187.6","g","2.4","g","2.1","g"
"New York","4,257.0","g","884.0","g","5,140.9","g","92,464.8","g","1.2","g","19.4","g"
"North Carolina","1,722.1","g","1,224.8","g","2,946.9","g","57,542.4","g","1.5","g","10.6","g"
"North Dakota","1,913.7","g","81.5","g","1,995.2","g","76,125.5","g","1.5","g","0.8","g"
"Ohio","2,670.4","g","326.7","g","2,997.0","g","61,592.7","g","1.2","g","11.7","g"
"Oklahoma","1,672.1","g","370.3","g","2,042.5","g","53,027.1","g","1.6","g","4.0","g"
"Oregon","2,631.6","g","351.8","g","2,983.4","g","61,597.6","g","1.8","g","4.3","g"
"Pennsylvania","2,414.3","g","327.5","g","2,741.8","g","65,770.7","g","1.5","g","12.8","g"
"Rhode Island","3,144.1","g","19.1","g","3,163.1","g","62,382.6","g","1.7","g","1.1","g"
"South Carolina","2,102.6","g","1,017.7","g","3,120.3","g","49,300.6","g","2.0","g","5.2","g"
"South Dakota","1,147.0","g","145.8","g","1,292.8","g","61,461.2","g","0.6","g","0.9","g"
"Tennessee","1,688.5","g","679.1","g","2,367.6","g","57,306.6","g","1.5","g","6.9","g"
"Texas","1,591.8","g","574.8","g","2,166.6","g","66,820.1","g","2.8","g","29.4","g"
"All states combined","2,431.4","g","554.4","g","2,985.8","g","67,183.0","b","1.5","b","330.6","e"
"Utah","1,899.6","g","305.9","g","2,205.5","g","60,546.6","g","2.4","g","3.3","g"
"Vermont","2,496.7","g","14.1","g","2,510.8","g","57,979.2","g","1.6","g","0.6","g"
"Virginia","2,160.8","g","204.6","g","2,365.4","g","66,988.0","g","1.3","g","8.6","g"
"Washington","2,238.6","g","696.2","g","2,934.9","g","81,519.6","g","2.4","g","7.7","g"
"West Virginia","2,263.5","g","212.5","g","2,476.0","g","44,729.5","g","0.7","g","1.8","g"
"Wisconsin","2,226.5","g","184.4","g","2,410.9","g","61,373.0","g","1.0","g","5.8","g"
"Wyoming","1,863.5","g","2,317.3","g","4,180.8","g","69,763.2","g","2.1","g","0.6","g"

"Legend:"
"g - 'guesstimated' projection by usgovernmentspending.com"
"b - spending in US budget"
"e - out-year estimate in US budget"
