""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2019"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,956.3","g","814.6","g","2,770.9","g","47,105.8","a","2.3","a","4.9","e"
"Alaska","3,317.8","g","670.4","g","3,988.2","g","75,738.5","a","2.5","a","0.7","e"
"Arizona","1,758.2","g","131.4","g","1,889.6","g","50,309.7","a","3.1","a","7.3","e"
"Arkansas","2,441.3","g","102.6","g","2,543.9","g","44,131.8","a","1.8","a","3.0","e"
"California","3,349.9","g","1,053.9","g","4,403.7","g","79,405.1","a","2.6","a","39.5","e"
"Colorado","1,818.7","g","360.8","g","2,179.5","g","67,772.5","a","3.5","a","5.8","e"
"Connecticut","1,425.4","g","41.0","g","1,466.4","g","80,116.9","a","1.6","a","3.6","e"
"Delaware","3,219.5","g","40.6","g","3,260.0","g","77,447.4","a","0.8","a","1.0","e"
"District of Columbia","0.0","g","4,390.2","g","4,390.2","g","207,147.3","a","1.6","a","0.7","e"
"Florida","1,500.2","g","505.7","g","2,005.9","g","50,906.3","a","2.8","a","21.5","e"
"Georgia","1,330.8","g","521.4","g","1,852.2","g","58,049.3","a","2.0","a","10.6","e"
"Hawaii","2,408.6","g","26.3","g","2,434.9","g","68,708.1","a","1.0","a","1.4","e"
"Idaho","1,502.9","g","478.6","g","1,981.5","g","45,276.0","a","2.8","a","1.8","e"
"Illinois","1,764.6","g","253.5","g","2,018.1","g","70,796.9","a","1.6","a","12.7","e"
"Indiana","1,978.7","g","739.0","g","2,717.7","g","56,014.8","a","0.8","a","6.7","e"
"Iowa","2,675.3","g","718.0","g","3,393.2","g","61,738.4","a","0.9","a","3.2","e"
"Kansas","2,295.7","g","394.5","g","2,690.2","g","59,431.4","a","0.9","a","2.9","e"
"Kentucky","3,058.3","g","251.0","g","3,309.4","g","48,049.9","a","1.1","a","4.5","e"
"Louisiana","2,812.6","g","639.1","g","3,451.7","g","56,758.2","a","1.3","a","4.6","e"
"Maine","2,043.1","g","119.5","g","2,162.6","g","50,229.2","a","1.9","a","1.3","e"
"Maryland","2,070.8","g","100.6","g","2,171.4","g","70,850.4","a","1.5","a","6.0","e"
"Massachusetts","3,642.3","g","164.2","g","3,806.5","g","86,406.8","a","2.5","a","6.9","e"
"Michigan","1,969.3","g","357.6","g","2,326.9","g","54,226.4","a","0.7","a","10.0","e"
"Minnesota","2,750.8","g","549.5","g","3,300.3","g","67,531.9","a","1.4","a","5.6","e"
"Mississippi","2,543.2","g","916.4","g","3,459.5","g","39,910.6","a","1.3","a","3.0","e"
"Missouri","2,340.8","g","389.8","g","2,730.6","g","54,107.7","a","2.1","a","6.1","e"
"Montana","2,236.5","g","236.8","g","2,473.3","g","48,811.8","a","2.1","a","1.1","e"
"Nebraska","1,306.3","g","367.6","g","1,673.9","g","65,671.7","a","0.6","a","1.9","e"
"Nevada","1,397.2","g","357.2","g","1,754.4","g","57,664.2","a","2.9","a","3.1","e"
"New Hampshire","1,480.5","g","20.3","g","1,500.8","g","65,157.3","a","2.7","a","1.4","e"
"New Jersey","2,289.9","g","76.5","g","2,366.4","g","72,599.3","a","1.5","a","8.9","e"
"New Mexico","3,639.7","g","158.8","g","3,798.5","g","49,599.6","a","3.7","a","2.1","e"
"New York","3,980.0","g","855.9","g","4,835.9","g","89,027.7","a","1.8","a","19.5","e"
"North Carolina","1,670.6","g","1,170.8","g","2,841.3","g","56,036.0","a","2.3","a","10.5","e"
"North Dakota","1,887.5","g","86.1","g","1,973.5","g","74,845.4","a","2.3","a","0.8","e"
"Ohio","2,604.1","g","327.4","g","2,931.5","g","59,752.9","a","1.7","a","11.7","e"
"Oklahoma","1,674.9","g","352.3","g","2,027.1","g","52,074.7","a","2.4","a","4.0","e"
"Oregon","2,522.5","g","339.5","g","2,862.1","g","59,653.7","a","2.7","a","4.2","e"
"Pennsylvania","2,431.6","g","323.3","g","2,754.9","g","63,545.9","a","2.3","a","12.8","e"
"Rhode Island","3,057.9","g","19.1","g","3,076.9","g","59,980.6","a","2.7","a","1.1","e"
"South Carolina","2,060.1","g","1,014.5","g","3,074.7","g","47,839.0","a","3.0","a","5.1","e"
"South Dakota","1,140.4","g","153.4","g","1,293.8","g","60,255.6","a","0.7","a","0.9","e"
"Tennessee","1,663.1","g","648.1","g","2,311.2","g","55,663.9","a","2.2","a","6.8","e"
"Texas","1,562.2","g","558.5","g","2,120.7","g","65,076.8","a","4.4","a","29.0","e"
"All states combined","2,331.3","g","542.8","g","2,874.1","g","65,280.6","a","2.3","a","328.2","e"
"Utah","1,826.5","g","282.6","g","2,109.2","g","58,797.1","a","3.8","a","3.2","e"
"Vermont","2,464.5","g","14.7","g","2,479.2","g","55,746.3","a","2.5","a","0.6","e"
"Virginia","2,059.9","g","201.6","g","2,261.4","g","64,930.0","a","1.9","a","8.5","e"
"Washington","2,214.0","g","679.8","g","2,893.8","g","78,741.5","a","3.8","a","7.6","e"
"West Virginia","2,308.0","g","210.6","g","2,518.6","g","43,628.9","a","1.0","a","1.8","e"
"Wisconsin","2,178.8","g","192.6","g","2,371.3","g","59,649.7","a","1.4","a","5.8","e"
"Wyoming","1,848.2","g","2,233.8","g","4,082.0","g","68,502.1","a","3.3","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
"g - 'guesstimated' projection by usgovernmentspending.com"
